DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2019-04-08,10:15,MANHATTAN,10003,40.731983,-73.98404,"(40.731983, -73.98404)",,,333       EAST 14 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4111919,Station Wagon/Sport Utility Vehicle,,,,
2019-04-08,10:15,QUEENS,11004,40.745388,-73.71508,"(40.745388, -73.71508)",,,256-01    UNION TURNPIKE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111054,Sedan,Sedan,,,
2019-04-08,10:15,,,40.743156,-73.97213,"(40.743156, -73.97213)",FDR DRIVE                       ,EAST 34 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111289,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,10:17,,,40.794907,-73.94856,"(40.794907, -73.94856)",EAST 108 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111927,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,10:30,BROOKLYN,11215,40.671055,-73.97618,"(40.671055, -73.97618)",,,491       1 STREET                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4111051,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,10:33,,,40.70058,-73.80775,"(40.70058, -73.80775)",SUTPHIN BOULEVARD               ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111085,Sedan,Sedan,,,
2019-04-08,10:35,,,40.63746,-73.99465,"(40.63746, -73.99465)",NEW UTRECHT AVENUE              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4112681,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-04-08,10:38,MANHATTAN,10036,40.75913,-73.98635,"(40.75913, -73.98635)",,,235       WEST 46 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111019,Taxi,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,10:40,,,,,,VERRAZANO BRIDGE LOWER          ,,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,4111617,Sedan,Sedan,,,
2019-04-08,10:45,BROOKLYN,11217,40.68715,-73.97969,"(40.68715, -73.97969)",,,63        FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4111213,Sedan,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,10:45,,,40.733376,-73.86665,"(40.733376, -73.86665)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4111600,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2019-04-08,10:45,,,,,,NORTH CONDUIT AVENUE            ,149 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4111651,Sedan,Pick-up Truck,,,
2019-04-08,10:50,,,40.83778,-73.94403,"(40.83778, -73.94403)",WEST 162 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4112763,Sedan,,,,
2019-04-08,10:50,BROOKLYN,11215,40.671604,-73.9909,"(40.671604, -73.9909)",,,453       3 AVENUE                      ,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,4111431,Sedan,,,,
2019-04-08,10:54,BRONX,10467,40.865532,-73.86238,"(40.865532, -73.86238)",BOSTON ROAD                     ,ALLERTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4111907,Sedan,Sedan,,,
2019-04-08,10:54,BROOKLYN,11203,40.644432,-73.9296,"(40.644432, -73.9296)",UTICA AVENUE                    ,CLARENDON ROAD,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4111125,Tow Truck / Wrecker,Station Wagon/Sport Utility Vehicle,,,
